answer, option_b, option_d, option_c
C, "Latissimus dorsi", "Serratus anterior", "Subclavius"
C, "Less than resting pressure", "First rises and then falls", "No change in pressure"
A, "Femoral artery", "Middle circumflex femoral artery", "Popliteal artery"
D, "Quadriceps", "Gluteus medius and minimus", "Gluteus maximus"
C, "Superomedial", "Superomedial", "Superolateral "
D, "Loose body in knee joint", "a and b both", "Tuberculosis of knee"
D, "Femoral vein", "All", "Psoas major"
B, "Medial cuneiform", "sustentaculum tali", "spring ligament"
D, "Intracapsular origin", "Causes locking of knee", "Supplied by tibial nerve"
A, "Planter flexion of the foot at ankle joint", "Paralysis of muscles of anterior compartment of leg", "Loss of sensation of dorsum of foot"
D, "Left recurrent larynageal nerve", "All of the above", "Right recurrent larynageal nerve"
A, "Anticoagulant only", "One dose of low molecular weight heparin sub-cutaneously", "Both antiplatelet and anticoagulant"
D, "Latissmusdorsi", "Rhomboid major", "Scapula"
C, "Infective endocarditis", "Ventricular arrhythmia", "Mitral stenosis"
B, "Negligible size of emboli ", "To prevent progress of native blood vessel disease", "To prolong life"
B, "Behind the rectum", "Between uterus and rectum", "Between bladder and uterus"
A, "SA node", "LBB", "AV node"
C, "T 6 vertebra", "T2 vertebra", "T5 vertebra"
D, "It has a tone which is provided by the sympathetic system", "Relaxes ahead of the peristaltic wave", "Relaxes on increasing abdominal pressure"
D, "Left atrium", "Aorta", "Upper pulmonary artery"
A, "T2 to T6", "T4 to T8", "T3 to T7"
C, "5", "6", "7"
B, "8", "12th rib", "10th rib"
D, "Thebesion vein", "Great cardiac vein", "Smallest cardiac vein"
D, "Coronary sinus", "Limbus fossa ovalis", "Tendon of todaro"
C, "Inferior vena cava", "Right brachiocephalic vein", "Superior vena cava"
A, "Middle", "At anus", "Lower"
A, "Broad", "Pubocervical", "Round"
B, "Right gastric artery", "Hepatic artery", "Splenic artery"
C, "Mandibular division of V nerve", "Facial nerve", "Internal carotid artery"
B, "4", "Adrenal gland", "Hepatic flexure"
B, "Failure of fusion of dorsal & ventral pancreatic buds", "Formation of only one pancreatic bud", "Formation of more than two pancreatic buds"
A:B, "Thoraco-epigastric dilatation", "Haemorrhoides", "Oesophagus varies"
A, "Right internal iliac", "External iliac", "Common iliac"
A, "Splenic artery", "Coeliac trunk", "Inferior mesenteric vein"
C, "The angle between the erector spinae and the iliac crest", "The angle between the 12th rib and the rectus abdominis", "The angle between the 12th rib and the erector spinae"
B, "Sickle cell anemia", "Dehydration", "Nephrotic syndrome"
A, "Perineum", "None", "Abdomen"
B, "Inferior rectal nerve", "Inferior gluteal nerve", "Superior gluteal nerve"
D, "II", "VII", "IV"
B, "Mid third of maxillary artery", "Greater petrosal nerve", "Maxillary nerve"
A, "Superior mesenteric vein & inferior mesenteric vein", "inferior mesenteric vein & Hepatic vein", "Inferior mesenteric vein & Splenic vein"
A, "Limited resection of the right colon", "Appendicectomy", "Total colectomy"
B, "Between int. oblique and transversus abdominis", "Above ext. oblique", "Below transversus abdominis"
D, "Cause hypotention", "Can be given only by retrocrural (classic) approach", "Can be used to provide anesthesia for intra abdominal surgery"
C, "Pudendal nerve", "Nerve to obturator internus", "Obturator nerve"
C, "Lower abdominal wall", "Penis", "Flank"
C, "Aorta", "IVC", "Coeliac trunk"
B, "9", "11th to 12th rib", "2"
D, "Usually done unilaterally", "Most common side effect is diarrhea and hypotension", "Useful for the painful conditions of lower abdomen"
D, "Internal iliac artery", "Round ligament of ovary", "Ureter"
C, "Sigmoidal artery", "Superior rectal", "Middle rectal "
D, "Retropharyngeal nodes", "All of the above", "Deep cervical nodes"
A, "Deep perineal pouch", "Ischiorecal fossa", "Inguinal canal"
A, "Para aortic lymph nodes", "Deep inguinal lymph nodes", "Superficial inguinal lymph nodes"
A, "Zygomatic", "Palatine", "Sphenoid"
A, "External carotid", "Posterior superior cerebellar", "Middle cerebral"
A, "Thoracic", "Sacral", "Lumbar"
B, "Cerebral part of ICA", "Facial artery", "MCA"
C, "Preganglionic sympathetic", "Postgalglionic parasympathetic", "Preganglionic parasympathetic"
B, "Anterior wall", "Posterior wall", "Superior wall"
C, "Oral cavity", "Clavicular nodes", "Retropharynx"
D, "Superior constrictor", "Palatopharyngeus", "Salpingopharyngeus"
B, "Bifurcation of trachea", "None", "4"
B, "Inferior constrictor", "None", "Middle constrictor "
C, "Radial nerve and ulnar nerve", "Musculocutaneous nerve and Radial nerve", "Ulnar nerve and Median nerve"
D, "Crista galli", "Inferior turbinate", "Uncinate process"
B, "Medial pterygoid", "Masseter", "Lateral pterygoid"
D, "XI", "XII", "IX"
D, "Accessory meningeal artery", "Greater palatine artery", "Inferior alveolar artery"
C, "Lateral to tensor veli palatini", "Anterior to middle meningeal artery", "Lateral to mandibular nerve"
C, "Palato pharyngeus", "Tensor veli tympani", "Tensor veli palatini"
A, "Inferior constrictor and palatopharyngeus", "Inferior constrictor and palatoglossus", "Superior constrictor and palatoglossus"
C, "Comiculate", "Cuneiform", "Cricoid"
B, "Anteroinferior nasal septum", "Posteroinferior nasal septum.", "Posteroinferior lateral wall"
B, "Sphenoid", "Lacrimal", "Frontal"
D, "Canine teeth", "Incisive foramen", "Alveolar arch"
B, "Upper 2nd molar", "Upper 1st premolar", "Upper 2nd premolar"
B, "Actinomycetes", "Histoplasmosis", "Trichosporum"
C, "Deglutition", "Eye movement", "Facial expression "
B, "Psoas major", "TFL", "Gluteus maximus "
A, "2", "None", "3"
B, "Two or more positive peaks", "Recorded on surface", "Refractory period"
B, "Medulla", "Midbrain", "Temporal lobe "
C, "Collateral", "Central", "Lunate "
C, "Supplies inferior oblique muscle", "Causes constriction of pupil", "Enters orbit through the inferior orbital fissure"
D, "Connect two frontal lobe", "All", "Unite two hemisphere"
A, "Glomus cells", "Intercalated cells", "Principle cells"
C, "Left renal artery", "Middle suprarenal artery", "Inferior mesenteric artery"
C, "Palate to temporal", "Palate to parietal", "Palate to foramen magnum"
B, "Rhinion", "Columella", "Radix"
D, "Genital ridge", "Yolk sac", "Somatopleuritic mesoderm"
B, "Hypocapnia", "Low perfusion pressure", "Acidosis"
C, "A decrease in arterial blood pressure", "A decrease in arterial oxygen tension", "An increase in arterial carbon dioxide tension "
B, "Pressure in alveoli and intrapleural pressure", "Atmosphere and intraalveolar pressure", "Atmosphere and intrapleural pressure"
B, "50 ml/min", "100 ml/min", "75 ml/min"
D, "Decrease in CO2 affinity of hemoglobin when the pH of blood", "Decrease in O2 affinity of hemoglobin when the pH of blood", "Decrease in O2 affinity of hemoglobin when the pH of blood"
A:C:D, "Decreased in emphysema", "It can be measured by measuring intrapleural pressure at", "At height of inspiration compliance is less"
A, "Plasma high Na", "RBC high K", "Plasma high HCO3"
B:D, "↓ ed affinity of haemoglobin to oxygen", "Right shift of oxygen-hemoglobin dissociation curve", "Left shift of oxygen-hemoglobin dissociation curve"
C, "Negative intrapleural pressure", "Residual air in alveoli", "Increase in alveolar surface area by the surfactant"
C, "Maximum air that can be expirated after normal inspiration", "Maximum air in lung after end of maximal inspiration", "Maximum air that can be expirated after maximum inspiration"
B, "Duration of expiration", "Depth of expiration", "Depth of inspiration"
A, "2.5 L", "10 L", "5.0 L"
B, "Capillaries venules and arterioles", "Arteries and veins", "Aorta"
B, "Capillary", "Venules", "Vein"
A, "Seen in in Constrictive Pericarditis", "Seen in Ventricular Septal Defect (VSD)", "Seen in Atrial Septal Defect (ASD)"
B, "0.12 sec", "0.1 sec", "0.08 sec"
C, "They provide afferents for thirst control", "They mediate vasopressin release", "They are located in carotid sinus"
A, "Coronary blood flow is inversely related to perfusion pressure", "Coronary blood flow is inversely related to both pressure and", "Coronary blood flow is directly related to perfusion pressure and"
A, "I - III = II", "I + III = avL", "I + II + III = 0"
A, "Increase in plateau", "Increase afterload", "Decrease preload"
A, "(DBP + 2SBP)/ 3", "(DBP + 3SBP)/ 2", "(SBP + 3DBP)/ 2"
D, "50%", "60%", "55%"
B, "End diastolic volume ", "Stroke volume", "Peripheral resistance"
C, "Decreased end-diastolic and end-systolic volumes", "Decrased end-diastolic volume and increased end-systolic", "Increased end-diastolic volume and decreased end-systolic"
B, "The calcium channels remaining open longer than the sodium", "A decrease in the amount of calcium diffusing across the", "The increased membrane permeability to potassium ion"
A, "Parasympathetic", "Warm climate", "Wheal and flare"
B, "-5 to 0 mmHg", "-10 to -20 mmHg", "20 to 30 mmHg"
A, "Short term memory", "Explicit memory", "Long term memory"
C, "Temperature", "Vibration", "Localization"
A, "Motor cortex", "Supplementary motor cortex", "Frontal"
A, "They contain lipofuscin granules", "They are derived from neural crest cells", "They have centrally located nuclei"
D, "Bipolar", "Multipolar", "Pseudounipolar"
D, "Occipital", "Temporal lobe", "Frontal lobe"
D, "0.6 - 0.8", "1.6 - 2.2", "1.2 - 1.6"
D, "A delta", "C", "A beta"
C, "Sensitivity to pressure is A>B>C", "Sensitivity to pressure is B>A>C", "Sensitivity to hypoxia is C>B>A"
B, "Retina", "Adrenal medulla", "Skeletal muscle"
C, "Hyperdypsia", "Hyperglycemia", "Hyperthermia"
B, "Posterior hypothalamus", "Lateral hypothalamic area", "Perifornical nucleus"
B, "Axon hillock", "Axon", "Dendrites"
C, "The palm of the hand", "The dorsum of the hand", "The back of scapula"
A, "Climbing fibre", "Spinocerebellar tracts", "Basket cells"
B, "Dopamine", "Adrenergic", "Cholinergic"
C, "Lateral spinothalamic tract", "Corticospinal tract", "Dorsal column"
B, "Smoothens and coordinates movement", "Planning and programming", "Learning induced by change in vestibulo ocular reflex"
D, "Midbarin", "Medulla", "Pons"
D, "Arch of aorta", "All of the above", "Bifurcation of carotid artery"
B, "Na+", "H+", "G-protein"
D, "Can be measured by surface electrodes", "Depends upon K+ equilibrium", "Increases as extra cellular K+ increases"
A, "Beta action predominantly", "Muscarinic receptors", "Alpha and beta"
B, "Stimulation of beta cells", "Stimulation of g cells", "Stimulation of delta cells"
C, "Ca2+ required for contraction", "Myosin is required for contraction", "Troponin is absent"
A, "Neurotemesis", "Nerve regeneration", "Neuropraxia"
B, "Optimum length", "None", "Initial length"
B, "Ca+", "Cl?", "K"
C, "Normally contain no neutrophils", "pH is less than that of plasma", "Formed by arachnoid villi within the ventricles"
C, "Norepinephrine receptors", "Dopamine receptors", "Acetylcholine receptors"
D, "K", "Glucose", "Urea"
A, "Glucose", "Na+", "Urea"
D, "Loop of Henle", "Collecting duct", "PCT"
D, "Concentration of HCO3- falls", "Concentration of inulin decreases", "Concentration of Na' increases"
D, "ANP", "Vasopressin", "BNP"
A, "70 %", "100%", "10%"
C, "On food entering intestine", "On stress", "On seeing food"
C, "Stimulated by nor adrenaline", "Stimulated by an increase in tonic activity", "Increased by stomach distention"
A, "Insulin", "Calcium", "High gastric pH"
C, "Starving", "Interdigestive state", "Ingested meal"
B, "Hexose", "Polysaccharide", "Diasaccharide"
B, "1 & 3", "Only 3", "2 & 3"
A, "Fat", "Folic acid", "Thiamine"
A, "Relaxation", "Contraction followed by relaxation", "No effect"
B, "Salivary gland", "Pancreatic gland", "Duodenal gland"
B, "Seminal vesicle", "Testes", "Sperms"
B, "Progesterone", "None", "Estrogen"
A, "Placenta", "Cardiac muscle", "Skeletal muscle"
D, "2", "4", "3"
A, "Cortical neurons", "Beta cells of pancreas", "Renal tubular cells"
D, "Decreased iodination of MIT", "Iodine intake", "Decreased T3"
C, "11-hydroxy derivative of androstenedione", "Cortisol", "17-ketosteroid dehydroepiandrosterone"
A, "Supraoptic nucleus", "Thalamus", "Ventrolateral nucleus"
D, "FSH", "Prolactin", "CRH"
A, "Increased glucagon", "Increased nor epinephrine", "Increased cortisol"
A, "4-6 mm/min", "10-13 mm/min", "6-9 mm/min"
A, "TSH", "FSH", "ACTH"
A, "Preoptic", "Posterior nucleus", "Paraventricular"
C, "Fasting", "Exercise", "Sleep"
B, "Posterior lobe", "All", "Intermediate lobe"
D, "65nm", "65 microns", "100 nm"
D, "Follicle stimulating hormone", "Estrogen", "Leutinizing hormone"
C, "2-3 days", "2-3 years", "2-3 months"
C, "Increased appetite", "Stimulates growth", "Is related to regulation of thyroid hormone"
A, "H3", "I", "D20"
D, "Kantiport", "Na cotransport", "Na antiport"
B, "Diffusion", "Active transport", "Filtration"
A, "Number of osmole per kg", "Weight of solvent per litre", "Weight of solute per litre"
C, "300 ml", "1000 ml", "700 ml"
C, "Decreasing lipid solubility of substance", "Decreasing size of opening in cell membrane", "Increasing lipid solubility of substance"
A, "Evaporation", "Convection", "Conduction"
C, "Vit K", "Vit C", "Vit E"
A, "↓PCO2 in arterial blood", "J-receptor stimulation", "↓PO2"
B, "1.6 micrometers", "l.6 mm", "16 nm"
D, "Carbohydrate", "Protein", "Phospholipid"
B, "1 : 1", "4 : 1", "2 : 1"
A, "Thyroid hormone", "Brown fat between the shoulders", "Muscle metabolism"
A, "20 – 30 mm", "30 – 40 mm", "15 –20 mm"
A, "Oxidoreductases", "Ligases", "Dehydrogenases"
C, "Oxido-reductases", "Dipeptidases", "Transferases "
B, "NADP", "FMN", "FAD "
A, "APDH", "None", "a-keto glutarate dehydrogenaes"
C, "Apoenzyme", "None", "Coenzyme"
C, "Coenzyme", "None", "Protein moiety "
C, "Zn", "Mg", "Molybdenum"
B, "Physically disinct forms of same enzyme", "Forms of different enzyme that catalyze same reactions", "Forms of same enzyme that catalyze different reactions"
A, "Ligase", "Transferase", "Hydrolase "
B, "Decrease in activation energy", "None", "Shift equilbrium constant"
A, "Substrate concentration of twice Vmax", "Substrate concentration of one third Vmax", "Substrate concentration of thrice Vmax"
D, "LDH-2", "LDH-5", "LDH-4"
B, "Enzyme units per mg of protein", "None", "Conc. of substrate transformed per minute"
B, "Competitive", "None", "Allosteric"
A, "LDH", "SGPT", "SGOT"
A, "Phosphofructokinase", "ATP synthase", "Hexokinase"
D, "Malate dehydrogenase", "Succinate thiokinase", "Aconitase"
B:C, "Cytochrome C oxidase", "Complex III", "Complex IV"
B, "2", "4", "3 "
C, "Succinyl CoA thiokinase ", "None", "NADH dehydrogenase"
D, "Succinate/Fumarate", "Fe+3", "Ubiquinone"
C, "2 ATPs", "4 ATPs", "3 ATPs"
C, "Pyruvate kinase", "Aldolase", "Glyceraldehyde-3-p dehydrogenase"
C, "1 cycle produces 2 ATP", "Aldolase produces irreversible polymerization", "It produces directly 2 molecules of lactate"
A, "Cell membrane", "Ribososmes", "Mitochondria"
A:C:D, "Enolase", "Phosphofructokinase", "Glucokinase"
A, "2 ATP, 2 NADH", "2 ATP, 4 NADH", "4 ATP, 4 NADH"
C, "Pyruvate kinase", "Acetyl-CoA carboxylase", "Hormone sensitive lipase"
D, "Pre-translational modificastion of protein", "Termination of protein synthesis", "Initiation of protein synthesis"
B, "Hexokinase", "Isomerase", "Pyruvate kinase"
C, "Oxabacetate", "Citrate", "Succinyl - CoA "
A, "Citrate - Isocitrate", "Succinate - Fumarate", "Succinyl CoA 4 Succinate"
A, "Fumarase", "Thiokinase", "Aconitase"
B, "Aconitase", "Alphaketoglutarate dehydrogenase", "Succinate dehydrogenase"
B, "Fluoroacetate", "Iodoacetate", "Arsenite"
A, "Glucagon", "Epinephrine", "Cortisol"
A, "Liver", "Kidney", "Adipose tissue "
C, "Acetyl-CoA", "Succinyl-CoA", "Citrate "
A, "Glucagon", "AMP", "Epinophrine"
B, "Pompes disease", "Andersen's disease", "Mcardle's disease "
B, "Fructose", "None", "Sucrose"
C, "Deficiency of xylulose kinase", "Deficiency of phosphoglucomutase", "Deficiency of L-gulonolactone oxidase"
A, "Glucuronic acid", "Galactic acid", "Iduronic acid"
B, "Oxidation of terminal alcohol", "None", "Oxidation of both"
A, "Type II", "Type IV", "Type III "
A, "NAD", "FMN", "FAD"
A, "Lactose", "Fructose", "Glucose"
B, "Fanconi becker syndrome", "Menke's disease", "Beckwith syndrome"
D, "Glucose-6-phosphate ", "Fructose-6-phosphate", "Fructose- 1 -phosphate "
C, "Presence of NANA", "Native tissue", "Presence of carbohydrate"
C, "Palmitate", "Citrate", "Acetyl CoA"
A, "Pantothenic acid", "Thiamine", "Niacin"
C, "Transacetylase", "Ketacyl synthase", "Acetyl-CoA carboxylase "
A, "NADH", "None", "FADH "
B, "ATP citrate lyase", "Malic enzyme", "Aconitase "
B, "Linoleic acid", "Elaidic acid", "Alpha linolenic acid "
B, "w-6 fatty acid", "Saturated fatty acid", "w-9 fatty acid "
A:D, "Skeletal muscles", "Lungs", "Myocardium"
C, "Linoleic acid", "Linolenic acid", "Oleic acid"
D, "Linolenic acid", "Cervonic acid", "Arachidonic acid "
C, "Apo-B100", "Apo-C", "Apo-E "
D, "Inactivates lipoprotein lipase", "All of the above", "Facilitates triglyceride transport"
C, "Max. content is TGs", "Largest size", "Max. content is cholesterol"
D, "Binds to scavenger R", "Accumulates in macrophages", "Binds to ATP binding"
A, "LDL", "Chylomicron", "VLDL"
B, "Insulin", "ACTH", "GH "
A, "Pyruvate", "None", "Glycine "
A, "Mitochondria", "None", "Cytosol"
D, "Not deposited in adipose tissue", "All of the above", "Diffuse directly into portal circulation"
B, "Medium chain FA", "Omega 3 unsaturated FA", "Long chain FA"
B, "Fatty acids", "Ketone bodies", "Amino acids "
D, "Increased HDL", "Increased Chylomicrons", "Increased VLDL"
B, "Hormone sensitive lipase", "Acid maltase", "Acid lipase"
B, "Lipoprotein lipase", "Peroxidase", "Cholesterol acyl transferase"
C, "Tpye II hypolipoproteinemia", "Tpye IV hypolipoproteinemia", "Tpye III hypolipoproteinemia"
C, "VLDL", "IDL", "HDL"
C, "Accumulation of short chain fatty acids", "Accumulation of medium chain fatty acids", "Accumulation of very long chain fatty acids"
B, "Arachidonic acid", "Palmitic acid", "Stearic acid "
C, "Histidine", "Bilirubin", "Methionine "
C, "Sphingomyelinase", "Hyaluronidase", "Iduronate Sulfatase"
A, "Phenylalanine", "Threonine", "Lysine"
A, "Tyrosine", "Threonine", "Phenylalanine "
D, "H2SO4", "Nitric acid", "HCL"
D, "Leucine", "Cysteine", "Valine"
C, "Catalase", "Transferase", "Deiodinase"
A, "Vit B6", "Folic acid", "Vit C"
A, "Agrinine", "Choline", "Histidine"
D, "Melanin", "Nicotinic acid", "Dopmine"
B, "CPS-II", "Arginosuccinate", "Arginase"
C, "Glutamate", "Fumarate", "Aspartate"
A, "Formation of Arginosuccinate", "Formation of ornithine", "Formation of citrulline"
D, "Ornithine", "Fumarate", "Oxaloacetate "
B, "N-acetyl glutamate", "None", "Ornithine "
B, "Pyruvate", "Arginine", "Aspartate "
A, "FAD", "FADH2", "FMN"
D, "Arginosuccinate lyase", "CPS-1", "Arginosuccinate synthase"
C, "Fumarylacetoacetate hyroxyase", "Tyrosine transminase", "Hydroxyphenyl pyruvate hydroxylase"
C, "Salting out", "Ion exchange chromatography", "SDS-PAGE"
B, "DEAE Cellulose", "None of these", "Sephadex"
C, "Alanine", "Histidine", "Tyrosine "
C, "Pyruvate kinase", "Aldolase", "Glyceraldehyde-3-p dehydrogenase"
D, "Primary structure lost", "Mostly renders protein insoluble", "Always irreversible"
A, "Phenylpyruvate", "Glyoxylate", "Xanthurenate "
B, "Urine is black", "Fecl, test gives red colour", "Banedict test is not useful"
A, "Phenylalanine hydroxylase", "None", "Arginase"
B, "Glucose-6-phosphate", "Fructose-6-phosphate", "Uridine diphosphoglucose"
A, "Metabolites are utilized in other pathways", "Same enzymes can be used in reverse directions", "It can proceed both in forward and backward direction"
A, "Aspartic acid and Serine", "Asparagines", "Glycine"
B, "Glycogenolysis", "Electron transport chain", "Fatty acid oxidation"
A, "Glucagon", "Epinephrine", "Glucocorticoid"
C, "Brain", "RBC", "Skeletal muscle "
D, "Glycogen", "Ketone bodies", "Fatty acids"
A, "Malonyl CoA", "Cholesterol", "Ketone bodies "
D, "It is stimulated by fructose 2, 6-bisphosphate", "It is important in maintaining blood glucose during the normal", "It is inhibited by elevated levels of acetyl CoA"
B, "ATP generation of pumping of proton", "ATP formation by transport of 0,", "ATP generation of pumping of neutron"
C, "Hexokinase has low affinity for glucose", "Hexokinase is induced by insulin", "Glucokinase has low affinity for glucose"
A, "Glucagon", "Corticosteroids", "Epinephrine "
A, "Enolase", "G6PD", "Pyruvate kinase"
B, "Proteins", "All are the same", "Carbohydrate "
B, "ATP citrate lyase", "G6PD", "Malic enzyme"
D, "RBC", "Heart", "Adipose"
C, "FFA increases", "Increased beta-hydroxybutyrate", "Increased gluconeogenesis"
C, "Niacine", "Ribaflavin", "Vitamin A "
C, "Homoserine", "Selenocysteine", "Hydroxylysine "
D, "Niacine", "Biotin", "Riboflavin"
C, "Transamination", "None of the above", "Carboxylation"
A, "Carboxyl", "Amino", "Hydroxyl "
C, "Vit K", "Vit C", "Vit E "
C, "NAD", "FAD", "PLP "
C, "Propionyl CoA to methyl malonyl CoA", "Cysteine to homocysteine", "Methyl malonyl CoA to succinyl CoA"
B, "Oxidative decarboxylation", "All of the above", "Carboxylation"
B, "Tryptophan", "Tyrosine", "Methionine"
C, "Scurvy", "Pellagra", "Beriberi "
B, "Homocysteine to methionine", "Glutamine to glutamate", "Serine to glycine"
A, "Molybdenum", "Flurine", "Selenium"
C, "Purine degradation", "None", "Salvage synthesis of purine nucleotides"
C, "Catabolism of ketones", "Catabolism fo pyrimidines", "Catabolism of purines"
D, "Guanosine", "Uracil", "Thymine"
D, "Aspartate, glycine,", "Aspartate, glycine, glutamine", "Aspartate, glutamate"
D, "CO", "Glycine", "Aspartic acid "
A, "A DNA", "Z DNA", "C DNA "
C, "m-RNa", "hn-RNa", "t-RNa"
B, "Translation", "None", "DNA replication "
C, "Phosphate", "Base", "Fatty acid "
C, "Translation", "DNA replication", "RNA replication "
B, "Seals the single strand nick between the nascent chain and", "Initiates synthesis of RNA primers", "Initiation of DNA synthesis and elongation"
B, "Synthesining small RNA fragments during DNA synthesis", "Unwinding of DNA", "Synthesising small RNA fragments during translation"
A, "CCA", "7-methylguanosine", "Intron "
B, "Small nuclear RNA", "tRNA", "Small cytosolic RNA "
A, "Elongation factor 2", "RNA polymerase", "Primase"
C, "Translation", "Termination of DNA replication", "Initiation of DNA replication"
A, "A=G, T=C", "Any combination possible", "A=C, G=T "
C, "Enolase", "PFK-1", "Glyceraledehyde-3-P-dehydrogenase"
A, "DNA dependent RNA synthesis", "RNA dependent RNA synthesis", "DNA dependent DNA synthesis"
C, "DNA ligase", "Helicase", "Topoisomerase"
B, "Intron", "ATP", "m-RNA"
B, "Proof reading", "Termination", "Chain elongation "
A, "Glutamate for valine", "Valine for isoleucine", "Isoleucine for valine "
A, "Plasmids", "Cosmids", "Phages "
B, "Metaphase", "Anaphase", "Telophase"
B, "UAA", "AGG", "AUA"
D, "Cloning", "Hybridization", "Southern Blotting"
A, "Allopurinol", "None", "Bromodeoxyuridine"
C, "Lewis", "Pasture", "Jeffreys"
A, "Has Thiamine in place of Uracil", "Its molecular weight is more than hn-RNA", "Sugar is Deoxy Ribose"
A, "Alanine", "Histidine", "Arginine "
D, "Dermatan", "Hyaluronic acid", "Keratan "
B, "Heparan sulphate", "None of these", "Keratan sulphate"
A, "Uroporphyrinogen III synthase", "ALA synthase", "Ferrochelatase"
A, "Copper", "Selenium", "Zink"
C, "Threonine", "Aspartate", "Chaperone"
A, "Hmg coa reductase", "Uroporphyrinogen 1 synthase", "ALA dehydratase"
A:B, "Golgi bodies", "Peroxisomes", "Mitochondria"
A, "RNAseF", "Chaperone", "Zymase"
D, "Hydrogen", "Vander wall", "Electrostatic"
A, "Peroxisomes", "Mitochondria", "ER "
A, "Angiotensin", "Oxytocin", "Glucagon "
B, "Angiotensin III", "Vasopressin", "Oxytocin "
A, "Orange red", "Golden brown", "Apple green "
D, "Mitochondria of all cells", "Mitochondria of hepatocytes", "Cytoplasm of hepatocytes"
D, "LDH 4", "LDH 2", "LDH 3"
A, "Bcl-2", "TNF", "FADD"
C, "Re-differentiation", "Sub-differentiation", "Trans-differentiation"
B, "Neurons", "Renal tubular epithelial cells", "Hepatocytes"
D, "Infarct", "Coralline thrombus", "Embolus"
A, "Mitochondria", "Lysosomes", "Golgi apparatus"
C, "L selectin", "E selectin", "A selectin"
B, "Integrins", "Calmodulin", "Selectins"
B, "Vasoconstriction", "Thrombosis", "Platelet adhesion"
B, "End of second week", "End of 2 months", "End of third week"
A, "Follicular dentritic cells", "B-cell", "Macrophages"
C, "Increased B cell count", "Neutropenia", "Compliment opsinization"
C, "Type I DM", "HTN", "Type II DM"
B, "Familial amyloidotic polyneuropathy", "Prion protein associated amyloidosis", "Dialysis associated amyloidosis"
A, "50% of girls of diseased father are carrier", "Mother transmits the disease to the daughter", "Father transmits disease to the son"
A, "Associated with cataract", "Multiple fibroma", "Scoliosis"
C, "S - G2", "Go", "G1"
A, "Autosomal recessive", "M itochondrial disease", "X-linked dominant"
A, "25% affected", "All affected", "75% affected"
A, "Malignant tumor", "All", "Choriostoma"
C, "Melanoma", "Lung", "Thyroid"
B, "P 53", "P 43", "P 41"
D, "Unencapsulated", "Highly radiosensitive", "More common in women"
A, "AFP", "CA-15-3", "11CG"
B, "Causes carcinogenesis", "Absent in germ cells", "Present in somatic cells"
A, "CPK MB", "Myoglobin", "LDH"
C, "Small warty along the line of closure of valve", "Small bland vegetations", "Small or medium sized on either or both sides of valve"
B, "Heart", "Spleen", "Liver"
B, "Nicotine and carbon monoxide and tar", "Carbon dioxide", "Carbon monoxide and Tar"
C, "Granulomatous inflammation", "Segmental nature of the involvement", "Most commonly involved artery is abdominal aorta"
A, "Marfan's", "Kawasaki", "Iatrogenic"
A, "Bleeding", "Capillary hemangioma", "Benign tumour"
