question,option_1,option_2,option_3,option_4,answer,subject,topic
"A 65-year-old diabetic woman presents with painless loss of vision. The ocular findings areshown in the image below. What is the likely diagnosis and management for this patient?","Zonular cataract and lensectomy","Rosette cataract and sugar control","Sunflower cataract and lesion extraction","Immature senile cataract and phacoemulsification with IOL","4","Ophthalmology","Diseases of Lens"
"A 5-year-old boy presents with a small nodule on the sclera as shown in the image below.What is the likely diagnosis?Pterygium","PrepLadder","Pinguecula","Dermolipoma","Dermoid","4","Ophthalmology","Sclera"
"The eye examination of a 20-year-old male shows a golden ring on the iris. What is the nextinvestigation to diagnose the condition?","Alpha-1-antitrypsin","Alpha-fetoprotein","Serum iron","Serum ceruloplasmin","4","Ophthalmology","Cornea"
"What is the dye and filter used to diagnose corneal ulcers?","Lissamine dye green filter","Lissamine dye cobalt blue filter","Fluorescein dye - visualized under green filter","Fluorescein dye - visualized under cobalt blue filter","4","Ophthalmology","Cornea"
"A 55-year-old male presented with verrucous carcinoma around the glans of the penis.Examination reveals that the inguinal lymph nodes are not enlarged. What is the appropriatemanagement for this patient?","Total penectomy","CO2 laser excision","Topical 5-fluorouracil","Partial penectomy","4","Surgery","Urology"
"Identify the procedure being performed in the image given below.","Intraosseous cannula for pain relief","Bone marrow aspiration","Intraosseous route access for giving IV fluids","Intraosseous abscess drainage","3","Surgery","Others"
"A diabetic patient presents with sudden-onset perineal pain. On examination| foul-smellingdischarge| and necrotic tissue as seen in the image is noted. Which of the following is trueabout the given condition?","Anti-gas gangrene serum indicated for all cases","Urinary diversion is the next step","Bilateral orchidectomy must be done","Mixed aerobic and anaerobic infection","4","Surgery","Urology"
"Which of the following is the most common complication following ligation of the first vesselduring abdominoperineal resection for rectal carcinoma?(APR Abdominoperineal resection)","Parasympathetic-bladder dysfunction and retrograde ejaculation.","Sympathetic - - bladder dysfunction and impotence.","Sympathetic- retrograde ejaculation and bladder dysfunction.","Sympathetic-Impotence and loss of cutaneous sensation in perineal region","3","Surgery","Gastrointestinal Surgery"
"A patient presents to the clinic with the lesion given in the image. He had a traumatic injury tothe chest one year ago. What is the most likely diagnosis?","Hemangioma","Hypertrophic scar","Keloid","Neurofibroma","3","Surgery","Plastic Surgery"
"A 45-year-old male underwent bilateral laparoscopic hernia repair for inguinal hernia.Postoperatively| he complained of pain in the right thigh. Which of the following nerveentrapment leads to this symptom?","Ilioinguinal nerve","Iliohypogastric nerve","Femoral nerve","Lateral cutaneous nerve of thigh","4","Surgery","Gastrointestinal Surgery"
"A patient was brought to the ER following a road traffic accident. On examination| the patientopens his eyes to a painful stimulus| speaks inappropriately| and withdraws his limbs to apainful stimulus. What is his GCS score?","E2V2M3","E3V3M3","E2V3M4","E3V2M2","3","Surgery","Others"
"A patient presented with fever and abdominal pain with jaundice. Investigations showed thegiven findings. Which of the following statements is true regarding this condition?Echinococcus species is involved in etiology","Surgery is mandatory","Fine-needle aspiration cytology is diagnostic","Angioembolization is the treatment of choice","PrepLadder","4","Surgery","Hepatobiliary Pancreatic Surgery"
"A patient who is a known case of alcohol dependence syndrome presents with sudden andunintentional weight loss. What is the most likely diagnosis?-ALP 240 IU/L-S. Direct bilirubin - 1 mg/dL-AST/ALT -0.5-Alpha fetoprotein- 600 ng/mL","Hepatic adenoma","Cholangiocarcinoma","Hepatocellular carcinoma","Alcoholic hepatitis","3","Surgery","Oncology"
"A lady developed a skin reaction| as shown in the image| after using a hair dye. Which of thefollowing chemicals is responsible for this condition?","Pollen","Chromates","Balsam of Peru","p-Phenylenediamine","4","Dermatology","Miscellaneous Disorders"
"A female patient presented with acne that is not resolving on oral isotretinoin and antibioticstherapy. Which of the following is the next best investigation?Evaluate for hyperandrogenism","Look for dietary triggers.","PrepLadder","Check for antibiotic resistance","Look for drug triggers","2","Dermatology","Introduction to Dermatology"
"Identify the maneuver being performed in the given image.","Head tilt| chin lift","Jaw thrust","Head extension","d. In-line manual stabilization","1","Anaesthesia","Cardiopulmonary Cerebral Resuscitation"
"A patient presented with features of chronic pancreatitis with recurrent attacks and has a 10mm dilatation of the pancreatic duct with intraductal calculi present. Which of the following isthe surgery of choice?","Pancreaticoduodenectomy","Longitudinal pancreaticojejunostomy","ERCP and sphincterotomy","Coring of pancreas head","2","Surgery","Hepatobiliary Pancreatic Surgery"
"A young woman complains of a painless ulcer in the genital area. It is associated withnon-tender inguinal lymphadenopathy. What is the most likely diagnosis?","Chancroid","Syphilis","Herpes genitalis","Granuloma inguinale","2","Dermatology","Sexually Transmitted Infections"
"Which of the following is associated with the clinical condition shown in the image?","Cataract","Glaucoma","Malignant melanoma","Basal cell carcinoma","3","Dermatology","Miscellaneous Disorders"
"Which of the following is the drug of choice for preoperative antibiotic prophylaxis in a patientundergoing cardiac surgery?","Penicillin G","Erythromycin","Azithromycin","Cefazolin","4","Anaesthesia","Pre-Anaesthetic Evaluation"
"A 30-year-old male presents with nonaxial proptosis of the left eye. The patient gives a historyof a road traffic accident 15 years back. The CT image is given below. What is the most likelydiagnosis?","Frontal mucocele","Frontal meningioma","Juvenile nasopharyngeal angiofibroma","Pseudotumor of orbit","1","ENT","Nose and Paranasal Sinuses"
"A woman presented with a BIRADS-5 breast lesion. Which of the following is a goodprognostic factor for this lesion?","BRCA-1 positive","p53 positive","ER positive","High Ki-67","3","Surgery","Endocrine Surgery"
"A 55-year-old patient comes with hoarseness of voice and difficulty swallowing. The patientwas diagnosed with laryngeal carcinoma| and surgical management was done. Thepost-operative image of the patient is given below. Which of the following surgery was done onthis patient?","Partial laryngectomy","Percutaneous tracheostomy","Standard tracheostomy","Total laryngectomy","4","ENT","Larynx"
"A patient presents with sudden onset of chest pain shooting to the neck and interscapularregion. X-ray shows widened mediastinum. BP is 110/90 mmHg in the right upper limb and160/100 mmHg in the left upper limb. What is the most likely diagnosis?","Acute coronary syndrome","Acute pulmonary embolism","Acute aortic dissection","Esophageal rupture","3","Surgery","Cardiothoracic Vascular Surgery"
"A female patient with hearing loss is examined and is found to be Rinne negative at 256 Hzand 512 Hz| while Rinne positive at 1024 Hz. What is the expected air conduction and boneconduction gap?","30-45 dB","15-30 dB","45-60 dB",">60 dB","1","ENT","Ear"
"A patient presented with right hypochondriac pain. He had an episode of diarrhea 1 weekprior. CT scan of the abdomen reveals a liver abscess of around 25 ccs. What is the next stepin management?","PAIR","Surgery","Medical therapy","Percutaneous drainage","3","Surgery","Hepatobiliary Pancreatic Surgery"
"A child was brought with bony deformities| as shown in the radiograph below. It could be dueto the deficiency of which of the following?","Vitamin A","Vitamin D","Vitamin K","Vitamin C","2","Orthopaedics","Pediatric Orthopedics"
"A 50-year-old patient with a history of trauma one week back presents with confusion andataxia. He is on treatment for alcohol dependence and his last intake was 2 weeks back. CTscan reveals the following finding. What is the diagnosis?","Extradural hemorrhage","Subdural hemorrhage","Intra-parenchymal hemorrhage","Subarachnoid hemorrhage","2","Surgery","Neurosurgery"
"Which of the following is false about the given condition?condition","Repeated radical surgery every 24 hours may be required to adequately manage this","This is a case of Meleney's gangrene","The condition is caused by β hemolytic streptococcus and may sometimes be polymicrobial","Hyperbaric oxygen has no role in the treatment of this condition","4","Surgery","Plastic Surgery"
"A bronchial asthma patient on inhalational steroids presented with white patchy lesions on thetongue and buccal mucosa. What is the drug that can be used to treat this condition?","Clotrimazole","Griseofulvin","Terbinafine","Flucytosine","1","Pharmacology","Antimicrobials : Anti Bacterial Drugs"
"A patient presents with a swelling in the groin region and it is diagnosed as a direct inguinalhernia. Weakness in which of the following structures is most likely to cause this condition?","Pectineal ligament","Conjoint tendon","Reflected part of inguinal ligament","Lacunar ligament","2","Surgery","Gastrointestinal Surgery"
"A pregnant woman with a history of bronchial asthma is in the third stage of labor. Whichdrugs should be avoided in managing postpartum hemorrhage in this mother?","Carboprost","Oxytocin","Dinoprostone","Methyl ergometrine","1","Pharmacology","General Pharmacology"
"In which of the following nerve injuries is the instrument shown below used?","Radial nerve","Median nerve","Ulnar nerve","Volkmann's ischemic contracture","1","Orthopaedics","Peripheral Nerve Injuries"
"Name the drug that acts on both the marked areas.","Sacubitril","Omapatrilat","Losartan","Nesiritide","2","Pharmacology","CVS Pharmacology"
"A patient presented with chronic knee pain but has no history of trauma. Identify the conditionshown in the radiograph below and the appropriate management.","Patellar avulsion fracture| TBW","Bipartite fracture patella| X-ray of other knees","Fracture of the upper pole of the patella| Cylindrical cast","Avulsion fracture| interfragmentary screw fixation","2","Orthopaedics","Spine + Pelvis + Lower Limb Traumatology"
"A construction worker came to the OPD complaining of white fingers. He has been working inthe cement and concrete industry and has been working on heavy machinery drills| wood| andfurniture polishing for 20 years. What is the most likely etiology for this condition?","Candidal infection of the fingers due to continuous exposure to water","Exposure to thinners and paints","Continuous exposure to cement and concrete","Continuous exposure to drills and machines","4","Surgery","Cardiothoracic Vascular Surgery"
"A patient with a previous history of myocardial infarction and ventricular arrhythmia is ontreatment for a few months. He developed fatigue| dyspnea| and weight gain. He had alsodeveloped pulmonary fibrosis. Which of the following drugs is responsible for the side effectsmentioned above?","Amiodarone","Atenolol","Aspirin","Spironolactone","1","Pharmacology","CVS Pharmacology"
"A 5-year-old child was admitted to the hospital for prolapsing rectal mass and painless rectalbleeding. Histopathological examination reveals enlarged and inflamed glands filled withmucin. What is the likely diagnosis?","Adenoma","Choristoma","Hamartoma","Carcinoma","3","Surgery","Gastrointestinal Surgery"
"A young female comes to the emergency department after consuming 100 aspirin tablets.What should be the next step in management?","N-acetyl cysteine to replenish glutathione stores","Pralidoxime","Glucagon to control bradycardia and hypoglycemia","Give sodium bicarbonate to alkalize urine","4","Pharmacology","Autacoids"
"A chronic smoker was on nicotine replacement therapy and clonidine tablets for smokingde-addiction. He stopped taking clonidine tablets and now presents with a headache. What isthe reason behind this condition?","Postural hypotension","Receptor upregulation","Rebound hypertension","Receptor hypersensitivity","3","Pharmacology","CVS Pharmacology"
"Identify the given condition.","Venous ulcer","Malignant ulcer","Arterial ulcer","Trophic ulcer","4","Surgery","Plastic Surgery"
"A patient with recurrent gout attacks was started on a therapy that inhibits uric acid synthesis.His symptoms were reduced after therapy. Which drug was he started on?","Probenecid","Colchicine","Diclofenac","Allopurinol","4","Pharmacology","Autacoids"
"A patient with a malignancy is undergoing chemotherapy. The platelet counts were reducedafter the previous cycle of chemotherapy. Which of the following drugs can be used to treatthis patient?","Oprelvekin (IL-11)","Filgrastim","Erythropoietin","Amifostine","1","Pharmacology","Drugs Affecting Blood and Blood formation"
"The true statement among the following is___failure.failure.","The dose of telmisartan should be reduced in renal failure but not in hepatic failure.","The dose of irbesartan should be reduced in case of mild-moderate hepatic failure and renal","The dose of candesartan should be reduced in mild-moderate liver failure but not in renal","Losartan acts as a thromboxane A2 antagonist and inhibits platelet aggregation.","4","Pharmacology","CVS Pharmacology"
"A patient at the orthopedics OPD complains of troubled sleep at night due to numbness andtingling sensation involving his lateral 3 digits. His symptoms are relieved as he lays his armshanging from the bed. Which of the following options correctly describes his condition and thetest used to assess it?","Guyon's canal syndrome| Froment's test","Carpal tunnel syndrome| Froment's test","Guyon's canal syndrome| Durkan's test","Carpal tunnel syndrome| Durkan's test","4","Orthopaedics","Peripheral Nerve Injuries"
"A child is brought to the orthopedics OPD with a deformity in the lower limb andhyperpigmented skin lesions. The x-ray of her thigh is shown below. What is the most likelydiagnosis?","Non-ossifying fibroma","Fibrous dysplasia","Paget's disease","Osteogenesis imperfecta","2","Orthopaedics","Metabolic Disorders"
"A schizophrenic patient was prescribed drug A after he did not respond to haloperidol andthioridazine. He now presents with excessive salivation| an increase in blood glucose| andhyperlipidemia. What is drug A?","Ziprasidone","Risperidone","Clozapine","Aripiprazole","3","Psychiatry","Schizophrenia Spectrum and Other Psychotic Disorders"
"The given image is an x-ray of a 22-year-old female. What is the probable diagnosis?","Chondroblastoma","Osteochondroma","Giant cell tumor","Aneurysmal bone cyst","3","Orthopaedics","Orthopedics Oncology"
"Identify the marked region in the given spirometry.","Functional residual capacity","Tidal volume","Expiratory reserve volume","Expiratory capacity","1","Physiology","Respiratory System"
"A patient with varicose veins complains of eczema over the same region. What is the stage ofthe clinical classification according to the CEAP guidelines?CEAP-Clinical-Aetiology-Anatomy- Pathophysiology classification of chronic venous disorders","C2","C3","C4a","C4b","3","Surgery","Cardiothoracic Vascular Surgery"
"A patient comes to the casualty with a severe headache. His BP was found to be 160/100mmHg. CT scan revealed a subarachnoid hemorrhage. What is the next best step in themanagement of this patient?","Nimodipine","Angiography","Surgery","Fibrinolytic therapy","2","Surgery","Neurosurgery"
"A man was brought to the emergency after suddenly becoming unconscious while working inthe field. On examination| his temperature was 105 degrees Fahrenheit| and his skin turgorwas decreased. Which of the following would not be seen in the patient?","Tachypnea","Hypotension","Sweating","Red hot skin","3","Physiology","General Physiology"
"Identify the correctly matched pair of substances with their renal clearance from the graphbelow.","A-Glucose| B-PAH| C- Bicarbonate and D - Inulin","A-Glucose| B- Bicarbonate| C-Inulin and D - PAH","A-PAH| B-Inulin| C - Glucose and D - Bicarbonate","A - Inulin| B - Glucose| C - Bicarbonate and D - PAH","2","Physiology","Excretory System"
"A 20-year-old female patient consumed a cleaning product containing 90% sodium hydroxide.She is having complete dysphagia. What is the best step in management?Feeding jejunostomy","Esophagojejunostomy","Stent placement","PrepLadder","Gastrojejunostomy","3","Surgery","Gastrointestinal Surgery"
"A 23-year-old male patient presents with midline swelling in the neck. The swelling moves withdeglutition and protrusion of the tongue. What is the likely diagnosis?","Brachial cyst","Thyroglossal cyst","Plunging ranula","Dermoid cyst","2","Surgery","Endocrine Surgery"
"Identify the true statement regarding the given nerve action potential curve?","The threshold point is at A","At point E| the nerve is more excitable","Point C to D is due to the opening of Na+ and closure of K+ channels","Point B to D is a refractory period","4","Physiology","Nerve Muscle Physiology"
"A young patient is admitted with a history of fever for 5 days. BP is 90/60 mmHg| PR-120 bpm|RR-24 breaths/ min| GCS score-10; laboratory tests show leucocytosis with neutrophilia andserum creatinine level of 2.6 mg/ dL. An intern doctor wants to calculate the qSOFA score topredict prognosis and hospitalization duration. Which of the following comprises the qSOFAscore?","BP| RR and CBC","Creatinine| PR| BP","RR| Body temperature| PR","SBP| RR| GCS score","4","Surgery","Others"
"Identify the type of transport across the cell membrane given below?","Simple diffusion","Facilitated diffusion","Primary active transport","Secondary active transport","2","Physiology","General Physiology"
"Identify the condition associated with the murmur in the image below.","Mitral regurgitation","Aortic regurgitation","Aortic stenosis","Mitral stenosis","1","Medicine","Cardiology"
"A woman| who is 4 days postpartum| presented with tearfulness| mood swings| andoccasional insomnia. What is the likely diagnosis?","Postpartum depression","Postpartum blues","Postpartum psychosis","Postpartum anxiety","2","Psychiatry","Mood Disorders"
"A 25-year-old female reported symptoms of anxiety| palpitations| sweating| breathlessness|chest pain| and a feeling of impending doom. She recalls having experienced 5-6 similarepisodes in the past 6 months| each episode lasting for about 20-30 minutes. What is thelikely diagnosis?","Depression","Panic disorder","Generalized anxiety disorder","Phobia","2","Psychiatry","Neurotic| Stress-Related and Somatoform Disorders"
"A young man came to the medical OPD with complaints of early morning backache andstiffness| which improves on exercise| and persistent red eyes. On examination| lungexpansion was less than 3 cm. X-ray is shown in the image given below.What is the most probable diagnosis?","Ankylosing spondylitis","Paget's disease","Healed tuberculosis","Osteopetrosis","1","Medicine","Rheumatology / Connective Tissue Disorder"
"A patient with hyperkalemia and elevated urea levels underwent dialysis. Towards the end ofthe session| she became drowsy and had a sudden seizure episode. On examination| thepatient was hypotensive. What is the treatment for this condition?Bumetanide","PrepLadder","Ethacrynic acid","Nesiritide","IV Mannitol","4","Medicine","Nephrology / Kidney Disease"
"A female patient presents to the emergency department with severe restlessness| palpitations|and tremors. She is a known case of bronchial asthma. On examination| the neck looksswollen. Blood pressure is elevated| and tachycardia is noted. ECG shows atrial fibrillation.Which of the following drugs is used for immediate management in this patient?","Diltiazem","Propranolol","Esmolol","Propylthiouracil","1","Medicine","Endocrinology"
"A preterm baby who was delivered at 28 weeks developed respiratory distress syndrome.Which of the following is true about surface tension and compliance in this baby?","Surface tension - decreased; Compliance - increased","Surface tension - increased; Compliance - decreased","Both surface tension and compliance decreased","Both surface tension and compliance increased","2","Physiology","Respiratory System"
"A middle-aged man complains of very early ejaculation during intercourse. What is thenon-pharmacological management that can be advised to the patient?","Cognitive behavioral therapy","Exposure and response prevention therapy","Squeeze technique","Sensate focus therapy","3","Psychiatry","Sexual Disorders"
"A 30-year-old male is found to be positive for HBsAg and HBeAg and is diagnosed withchronic hepatitis B. The patient's viral load was 2x 100000 and SGPT is found to be doubled.What is the appropriate management in this patient?SGPT-Serum glutamate pyruvate transaminase","Lamivudine for 30+ weeks","Tenofovir for> 40 weeks","Pegylated interferon for 52 weeks","Combined pegylated interferon with lamivudine","2","Medicine","Liver"
"A 25-year-old male patient complained of palpitations| sweating| and restlessness. He has acomplaint of sweaty palms. Clinical findings are depicted in the image given below.What is the diagnostic test done on this patient?","Anti-thyroglobulin antibody","Anti-thyroid peroxidase antibody","Thyroid receptor antibody","Elevated ultrasensitive thyrotropin levels","3","Medicine","Endocrinology"
"A 50-year-old HIV patient presented with a painless lesion| as shown in the image.What is the most likely diagnosis?","Basal cell carcinoma","Kaposi sarcoma","Malignant melanoma","Squamous cell carcinoma","2","Medicine","Oncology"
"A patient came to the hospital after a road traffic accident. He had severe muscle injury| andhis serum K+ level was found to be 5.5 mEq/L. What will happen to the resting membranepotential in this patient?Becomes more negative","No change","PrepLadder","Becomes more positive","First becomes more positive then negative","3","Physiology","Nerve Muscle Physiology"
"A newborn presented with chest retractions| dyspnea| and lethargy. The pediatriciandiagnosed the baby with respiratory distress syndrome. This occurs due to the deficiency of:","Dipalmitoyl inositol","Lecithin","Sphingomyelin","Dipalmitoylphosphatidylethanolamine","2","Pediatrics","Pediatric Respiratory Disorders"
"A patient is brought to the OPD by his wife| complaining about difficulty expressing emotionsand not participating in daily activities. On examination| resting tremors and rigidity are noted.Given the possible diagnosis| which part of the brain is affected in this patient?","Basal ganglia","Hippocampus","Cerebellum","Premotor cortex","1","Medicine","Neurology"
"A 45-year-old HIV-positive male complained of persistent cough and weight loss. He has skinlesions that appear as umbilicated papules and nodules predominantly on the face| trunk| andupper extremities. Chest x-ray showed multiple bilateral nodular infiltrates. His sputumCBNAAT for tuberculosis was negative| and he has a low CD4 count. What is the probablediagnosis?","HIV with disseminated histoplasmosis","HIV with disseminated cryptococcosis","HIV with molluscum contagiosum","HIV with tuberculosis","1","Medicine","Infections"
"A patient met with a road traffic accident and developed a cervical spine injury. The fracturefragment had pierced the lateral aspect of the dorsal column tract. Which of the followingfindings is seen in this patient?","Absence of ipsilateral lower limb proprioception","Absence of fine motor movement of fingers","Absence of ipsilateral arm proprioception","Absence of contralateral lower limb proprioception","3","Physiology","The Nervous System"
"A male patient presented to the emergency room with seizures. He has a history of fever|headache| and confusion. An MRI brain was done| and it showed inflammation involving thebitemporal lobe. What is the most likely aetiology for this presentation?","Cytomegalovirus","Toxoplasma gondii","Herpes simplex virus","Mycobacterium tuberculosis","3","Medicine","Neurology"
"Identify the true statement regarding the point marked(Red) on the myocardial action potentialcurve?","Due to the opening of Na+ and closure of fast K+ channels","Due to the slow but prolonged opening of Ca2+ channels","Due to the closure of Na+ and opening of the slow K+ channel","Due to Na+/K+ ATPase","2","Physiology","Cardiovascular System"
"A male patient presents with sensory loss and weakness of limbs for 3 months. He also hasangular stomatitis. On examination| there is loss of proprioception| vibration sensations| UMNtype of lower limb weakness| and absent ankle reflex. What is the most probable diagnosis?","Extradural cord compression","Amyotrophic lateral sclerosis","Multiple sclerosis","Subacute combined degeneration of cord","4","Medicine","Cardiology"
